ID	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod
6b04a8c0-3686-4baf-a02a-adaa134f9790	HTT	+	26	7.03580058704723	7.47871780104087	-4975.95102812485	5026	711	-
dd519b81-2620-49bf-aa7c-203ea96f5bcc	HTT	+	18	6.37181536642078	7.08839603279349	-4075.43673664447	6692	474	-
067c6768-4f5b-43ad-ac75-568dd3db6762	HTT	-	28	6.04150780769822	6.92987323551263	-5197.27154224701	25472	769	-
b7d7e9b7-7c4e-4ec0-b4d0-107c20dc6a02	HTT	-	25	6.01124149090011	6.7884425025545	-4918.71657381019	15112	804	-
e4ed2f7f-874b-4a65-8f5a-dd6964c9bb00	HTT	+	25	7.14108908072157	7.24281807622966	-4214.8196497716	5356	698	-
44bb8a70-0921-4b7a-91b3-7b29642a1beb	HTT	+	27	6.1886747822226	6.93414285637474	-4230.57751662731	5822	719	-
a064c597-f189-483e-acc7-0fdde73ab7b5	HTT	-	25	6.8338878351967	6.41280297127695	-4634.93600397857	23720	730	-
c80e672c-d549-43cb-83f2-dd1dbe11e7a1	HTT	+	26	6.20139930264262	6.30114318435003	-4300.57044740489	5606	704	-
76ae46ba-9286-4252-a0fa-c2dab73995ce	HTT	-	28	6.25613884551428	6.4865927585922	-5138.39746385728	9985	808	-
fa866d9e-7e43-4d00-b602-625927b48543	HTT	+	26	7.14419897562241	6.79790916495199	-4256.52615422194	4974	641	-
e3ca5ea1-55fb-4bb0-91db-5453d2e9a52c	HTT	-	27	7.3148158088883	6.07780465273363	-4583.96582402662	8447	745	-
99e28022-687e-48a8-91d6-d316e6210158	HTT	+	30	6.65084388743234	7.87086282717954	-4332.84405061616	5986	696	-
15ed9230-bb64-42df-b199-18cb36bd3276	HTT	-	26	6.19596415701796	7.48144003378378	-4362.88355859303	7957	654	-
ecf0864b-ea32-49be-9a99-5ff2d186bcbc	HTT	-	25	6.27429835317153	7.11572193287037	-5096.94258835167	6595	720	-
f7807d28-f103-45c2-9b4c-6f2fb8a8c6f7	HTT	+	26	7.06893344504941	6.44015562996032	-4000.95605812373	5126	547	-
26f56127-39e3-441b-bfb8-9ab365a0e8d2	HTT	+	25	6.97597491313336	6.17890984470859	-4474.9729226341	8634	555	-
