ID	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod
0ae130bd-7892-4db4-99ad-5757e6835c87	HTT	-	48	6.29237765692142	6.3109886386041	-7504.48135551573	26070	1480	-
b66dcd25-c032-4a69-a3cc-c30d67836df2	HTT	-	46	7.02144427953201	7.16034024003623	-7048.65226495242	26949	1562	-
3cd62cdd-53d8-40d9-b782-c7429c3440f4	HTT	+	47	6.6990180581303	6.53313566916191	-6070.22532104969	5657	1209	-
42e8dd9c-2332-402f-a7ac-c9c21cdefdc0	HTT	-	50	7.57043898674928	6.06464903846154	-7232.37623356613	26811	1621	-
26327b7f-e04c-45bb-bb9e-beb7c1f471b4	HTT	+	48	6.58354380522349	7.08541993549512	-5679.96229986258	5581	1341	-
65fa3179-92c3-4e9f-9b89-4c6c94061bc1	HTT	+	47	6.53961562603752	6.09274745223546	-5634.24238396898	7700	1212	-
04a70b9c-6880-429d-9a30-9402d4f78f91	HTT	+	51	6.57619637182203	7.41734164731804	-6358.02304621639	5416	1461	-
ff0d0bc9-3e30-4cd6-9c7b-8e1527838f13	HTT	+	48	7.35621214874031	7.57615597242783	-6942.40607365206	4704	1442	-
16ade528-52a8-49c0-bc20-1e10d0264f32	HTT	+	50	6.94998565501412	6.3323005597616	-6297.99319604848	5489	1402	-
0050e1cc-1e7f-4914-bf7f-39e69f8a6fde	HTT	+	48	6.30493625866961	6.03286855122041	-6592.04313295136	5740	1360	-
8be21982-9290-44dc-ac05-e7fad5824fca	HTT	+	48	7.5696463831927	6.7159618432971	-5949.63555851906	5421	1014	-
6ccaa1da-9633-4189-80f7-1f99a60de3d7	HTT	-	49	6.49408449338668	6.84638857690275	-6702.47419644886	26520	1355	-
ac7502a7-ab2b-4518-aa93-fc637ce6cdf9	HTT	+	51	6.84795184317539	7.71381550948444	-5884.4143926136	6555	1319	-
03b2b7cd-5df3-478a-894c-30e5c311108a	HTT	-	51	6.12859056363293	7.15786062688964	-7111.81342355574	25545	1365	-
