ID	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod
af88ed82-a335-4f06-adbe-9367f6c1e71d	HTTcag	+	24	6.651665746001684	6.97180500746587	-5647.685028358416	9867	1048	-
a36d149c-d92f-4077-a4b1-f1b2c4ca581e	HTTcag	+	32	6.393617936366581	3.6123676190304947	-6767.67348122515	10500	1034	-
704856b2-3ce1-4f14-986e-a9bbe142a086	HTTcag	+	21	6.191091593790116	6.7612891190303905	-5386.041870250845	10469	950	-
43021cdc-1f4f-48e9-bfb1-1477a2055aa7	HTTcag	+	22	5.649913207150176	6.71215852908044	-5520.702844205196	10371	864	-
3f553991-1826-4748-81e2-79dbf7103158	HTTcag	+	29	6.833868956785209	5.772589292474258	-5205.780638875229	9031	837	-
7f9bebe2-477a-4915-b5ce-d72e2381b841	HTTcag	+	28	6.437149725563594	3.885780468098415	-5425.353203321402	9747	649	-
beae263a-5874-4633-b736-bbe04e5d5ab0	HTTcag	+	19	6.765456974793531	6.325236960932527	-5648.926305826127	10069	879	-
acdf14f0-b0d5-4ad4-8ca2-209b79ed3124	HTTcag	+	29	6.774602077066181	6.406593420316496	-5482.691356909616	10249	944	-
5e4c0bf2-104a-4c4a-980c-2be2ec82500c	HTTcag	+	29	6.419079944137533	4.920048818616115	-4555.060892249496	10316	424	-
0c0903d4-8d76-4802-a9d2-40c76c2149df	HTTcag	+	32	6.266217397519353	6.782489321043165	-5448.564722767479	10136	802	-
bed7eaaf-46ae-4914-adb7-f4786a9d2b37	HTTcag	+	35	7.056386991012473	6.602257506341847	-5226.763240231134	8067	809	-
99ffe8a8-610d-4cc4-beb3-c0948d896ea0	HTTcag	+	24	6.056027743857312	6.665925190498001	-5338.320721754144	10568	821	-
6ff71352-412d-4915-b102-44d134a82801	HTTcag	+	29	5.746966243339574	6.989862554704596	-4953.234304376628	9596	652	-
7fe8fa10-56ee-4149-9d40-a1b85a6aa496	HTTcag	+	36	7.070562285494942	6.707615545156856	-6162.649498846026	8644	1107	-
ee8b91b7-45bb-4850-a0bf-04945c61c696	HTTcag	+	33	6.386164587031956	6.475501019021739	-5369.059941864425	10467	933	-
6fef2116-5580-42ff-a2d0-cad223c41319	HTTcag	+	34	5.539485950630252	7.101337611217725	-5453.643730734474	9786	934	-
ae52c5f5-e02f-4088-943a-d50a1eef5428	HTTcag	+	31	7.020790353309884	7.350799358443709	-4977.932166543206	9567	797	-
409c8b7c-0bc8-48db-b043-240f153271ae	HTTcag	+	24	6.203494874512305	4.043255230098203	-4063.3495464540833	10487	0	-
6748ee7a-3c53-4a99-97d3-5c1933f83ffc	HTTcag	+	29	6.338837421976329	6.382482102450062	-5774.458637013699	9437	905	-
9b91660b-c939-41e2-b0f4-8ea66a940f6b	HTTcag	+	27	6.030810332850657	6.864962774795501	-6379.517076934752	10427	1249	-
15a82c21-7af7-4d6b-8f95-9af55bab3147	HTTcag	+	39	5.830343457379608	7.215947720160437	-6375.304897676718	9592	1123	-
dfc83f3e-c71c-42d1-ba35-185f800df3a1	HTTcag	+	30	6.267046670688045	7.685961579623288	-5476.405647692934	9743	864	-
3966399d-3cab-44ea-af79-132e1ed414f2	HTTcag	+	33	4.586733200102756	5.186298772838394	-5255.906098460996	9647	488	-
d569b69c-4017-4519-845c-a5c0e341a9aa	HTTcag	+	31	6.330125218115482	6.787330884612008	-5350.190406903565	9566	873	-
b5b3193b-9092-41ff-b491-d719942a6664	HTTcag	+	24	7.5588886186770425	6.876644774496337	-5471.332388425475	10769	945	-
6ec9df5f-449d-4223-87d3-33535993e035	HTTcag	+	150	5.132182240278584	4.6617207143498565	-15204.007977631618	10718	4727	-
