ID	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod
96ae972b-7d64-48a2-8c20-bfe3ed556d37	HTT	+	447	5.727455751235876	6.93469682496361	-100299.56724207851	2508	22238	-
17bd7a60-11d4-490e-aa51-896b348d4381	HTT	+	541	6.318084560296474	5.493345280283505	-108006.78467519661	2019	25537	-
5329af07-428e-495b-9e71-3c14f71c1154	HTT	+	525	5.737444861152472	6.377718054729959	-107435.06232523189	2290	25170	-
c98d71f5-813b-4409-a8b2-2c3cdedf7507	HTT	+	547	7.261762912563822	5.994449076573103	-117854.26737340688	2051	27468	-
85793314-f6ce-4868-90be-cbcb4d7bcf60	HTT	+	548	5.889420877854215	6.932813728380503	-105203.70936520904	2422	24757	-
f6396a05-5db8-4319-8707-cc9011c30675	HTT	+	432	6.109409243894802	6.308990276114591	-105803.74766756862	2367	23610	-
e89987c6-16d4-4fe7-aa6a-1e4451307928	HTT	+	396	6.8674088541666665	5.438649464065391	-98138.7595930123	2424	21708	-
c998a940-5c4f-438f-8766-ba2fd6872d66	HTT	+	360	6.708760496386055	5.815163891631228	-102727.41262433564	2291	22387	-
14d70c2f-0863-4395-8fcf-270a711e0eea	HTT	+	430	4.675622671505653	5.6962044423302105	-98841.20063118354	2273	21990	-
70e32a25-f660-4480-8f04-25c6f282e52a	HTT	+	411	5.247401423995845	6.261381125652315	-97286.81293492322	2652	21531	-
49d568b8-f37c-479f-90fa-76ca505d82fa	HTT	+	359	6.427087881528609	2.9934716678565247	-99866.23883168983	2567	20429	-
14e42e7d-3670-4f10-b032-609a1f6529fe	HTT	+	420	5.437656156772077	6.250493695980104	-97054.63048166817	2028	21005	-
55d75296-8c71-403e-ae05-ccdfff3421f0	HTT	+	422	5.536688624964428	6.179794947306315	-101213.28309381308	2587	22460	-
b37135d7-ad64-49d1-8ab6-cacb3351c8c3	HTT	+	380	5.304317882449128	5.226454197015977	-105596.71823884636	2167	22494	-
f9f25635-6110-45c5-9a68-264e7f3fabe9	HTT	+	423	6.238411458333333	5.908113623345214	-114267.30220447833	2059	24131	-
e1d53b51-4865-4618-9796-18d51b74b404	HTT	+	489	5.454712481831395	5.371373260821555	-133390.41366082669	2801	29179	-
3d4d846a-28f9-45b8-9a73-a41be18d31bc	HTT	+	434	6.481250922528678	6.503658807829182	-98215.57489024728	1887	22489	-
5eed5a52-df14-4a91-a27b-2d1a1ffcd63a	HTT	+	438	6.201221344394934	4.97983494387964	-108472.5060853693	3339	24259	-
db1c43e9-2fd0-449f-897a-54677f563ea7	HTT	+	434	7.174957391781083	5.80150063305709	-94268.29711757103	3691	20687	-
868ed902-7371-4da4-8211-6fd37ae87f87	HTT	+	440	6.414292503659727	6.102717075176509	-100501.04669513929	2285	22047	-
d811067c-10ad-4253-95ba-b41b00c8d43b	HTT	+	442	6.647122253041466	4.96299843050721	-108522.1577679352	2358	24321	-
6dcfa6c5-444a-4c7b-bb1e-b16b3014f785	HTT	+	550	6.955619685557666	6.303630315021725	-107041.73257613099	3718	24993	-
11f02fc4-e51a-40dd-b996-f478fa76075e	HTT	+	443	6.389720659163987	5.872974354940214	-103645.1711174358	3733	22883	-
336b3db8-d2ee-4c6e-9133-244730d56f35	HTT	+	419	5.319867334092163	6.0853818482990505	-99360.60987876196	2307	21474	-
ecaf221c-adda-4a36-b3e3-23e3624f3615	HTT	+	431	6.384467462450755	4.860359519282999	-98578.33360506986	1950	21427	-
6b0b1ed0-878e-4824-ad8b-8e28af528a5b	HTT	+	407	4.044294411749041	4.389787745407061	-97165.52088003898	3245	21207	-
46c1326a-0e1b-4318-835d-f215d0e2288c	HTT	+	466	4.738062548600311	4.916279124179977	-113789.33098942437	3039	24969	-
87be9e82-bd16-4f12-9f47-f42853aff910	HTT	+	438	6.900228928376906	7.30278720295595	-96967.46317700119	2107	21821	-
c0eda576-28c7-4f7e-b32a-101ca0e11ee8	HTT	+	434	6.844639200112691	6.091726651755712	-98600.31714809971	2405	22042	-
5e40d497-eddc-4ecf-9bc6-3fe9895a7d20	HTT	+	433	6.852523906671728	6.012267945544554	-98448.88816872163	2290	21581	-
de681498-e979-4615-8ba5-f6cafe5dd7a1	HTT	+	171	3.6474123285138718	5.990333128511236	-49663.392679070115	10437	9614	-
9c4c4673-f396-41f4-ac26-9a9d6cdcba18	HTT	+	440	6.685164256762433	6.024614141779062	-109179.28198452073	2005	24483	-
0f1da093-acf3-494e-bdea-a67226159af3	HTT	+	526	6.461582485465116	7.085983254026354	-96690.34519233347	2045	22313	-
a2098774-9c1d-4be9-b239-6f9660e1ea4f	HTT	+	427	6.776541282207521	5.780107077480574	-98662.67724318395	1988	21782	-
2df2c3a2-0c9f-4a20-9f97-a206854d73d6	HTT	+	423	4.946469656099679	6.74746918077774	-99724.31508918469	3452	21915	-
e9557b7a-3720-45d8-9380-5d58a7afe268	HTT	+	532	6.526426188151041	5.940349955877839	-106966.14994776536	2665	25482	-
216cb4c4-5576-40b9-9a05-af581345f84b	HTT	+	434	6.898370467169436	6.283398934794716	-101105.40815124857	2840	22431	-
1289a9df-1705-4d52-b6b6-516c57a0f713	HTT	+	541	7.117764825065396	5.755440848214286	-104371.57218482238	1799	24656	-
d9fdb545-39e7-41e9-be3f-05dd4c2ec083	HTT	+	530	7.115499534354305	6.165961657072368	-102603.15387250812	1932	24432	-
68da78c7-765c-4eb8-ae76-fec20ff6bfef	HTT	+	30	3.9895444355102487	3.4349310283108925	-21566.806484064193	11205	3290	-
1cf609cd-d30e-4319-8382-e41308dfeca0	HTT	+	531	6.527797812078841	4.979189598238856	-111097.85903972638	2803	25070	-
fc1c75ce-0001-4409-873f-604a6bc195bc	HTT	+	0	3.760004242081448	4.300020077033433	0	41281	0	-
b80c3099-5171-4731-812b-3819abfaaf61	HTT	+	421	7.773393249511718	6.877670447142113	-94540.71123340163	1958	21218	-
7c9db448-e14e-41dc-8038-5f04c8c3d62b	HTT	+	530	4.880541907626175	5.6867145282281	-109295.01761000435	2831	25222	-
9adc148e-33ff-4d27-a194-bbc9568e1ee2	HTT	+	427	7.203409707798339	6.499191251128159	-101883.21272641755	2086	23058	-
d699b887-323e-4ef9-bf87-a7a357a5b65d	HTT	+	449	6.203333089953271	5.7377439656138	-107125.12944659995	2325	23850	-
aed496ba-5e12-4e58-92fc-4d1c1d9d6daf	HTT	+	408	5.1648360806609945	6.613121542104276	-91426.22076230806	3247	20300	-
9f1b1ea5-618f-40db-bcb3-98afa9d9abde	HTT	+	410	5.956740397639319	7.3903210055443544	-97654.92533462834	3242	21782	-
9becda2f-cd39-49e2-914f-2f23fbd92738	HTT	+	423	6.503272925204918	6.97359137824616	-96128.7259549276	2850	21584	-
