ID	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod
ce272874-4652-4171-a865-f12f6e2791b7	HTT	+	427	6.855540585964608	5.950366462628866	-97200.52801423869	1909	21774	-
7e7a1f47-d32b-4809-a9dd-73170b3564b0	HTT	+	489	5.755898532427096	6.5248049803223385	-97181.90751924625	3010	22412	-
8af1149e-490a-42fd-baa6-beaa006ddcde	HTT	+	413	7.764947049307785	7.058889678030303	-89826.17650103691	1680	19782	-
126fb4f1-bef9-4553-a875-1182a635e260	HTT	+	418	5.877738496483001	6.11395017065183	-100610.4186082663	3029	22282	-
bfff9f38-98f4-4aa7-b05d-b3fce4ec6ef2	HTT	+	405	5.774447000897877	5.961985576923077	-92693.5817900013	2891	20200	-
b90bd94c-3684-4cdf-9323-82b7d6d7d499	HTT	+	428	7.021503141681495	6.194232148248792	-100731.7894608569	1935	22356	-
b4df0716-6783-46a1-a931-57ba8df09937	HTT	+	547	5.871459811889499	6.530561459056211	-104484.21765066218	2245	24201	-
ef4194f5-6e0e-45de-9ef7-6761f262cd43	HTT	+	422	5.165363182490586	5.877424263203692	-95817.28142377957	2465	20515	-
02a2d360-6a5c-4cfa-a90c-154ba75d6832	HTT	+	544	5.972837949810606	6.242618958262855	-111168.89490111446	2764	25752	-
9628f348-7eca-40cb-a963-43e11fc2ef6b	HTT	+	480	5.633447590555051	5.822064705442584	-122495.4997228261	4195	26962	-
b9ea82eb-2602-4be8-87a6-d91ea0fd9e9a	HTT	+	402	4.5238885926681505	6.756353036759642	-86578.79545387936	2507	18926	-
11f4f39a-9d99-4a09-a3db-abe0dbf453cd	HTT	+	441	6.6324545166351445	6.863892533396947	-97312.1426984776	2146	21658	-
14e3b193-c570-481f-bfb9-a3e64c60c3f5	HTT	+	442	5.208876262831341	6.799704076233789	-103871.28672000112	4158	23180	-
99d11f2c-c506-40a0-9f49-11407feed529	HTT	+	418	6.446517934290652	6.303709054667417	-103631.85128696199	2218	23022	-
de9222ef-d487-48cc-8a3d-7d3a3b50f415	HTT	+	409	5.280180966064587	6.473281376415858	-97046.55482173165	2516	21133	-
f7e3c028-0683-4506-ac36-5a8c6caa7c70	HTT	+	428	7.728119360277356	6.41921668359624	-98174.85842482073	3179	21855	-
98c9c81b-d27f-4f40-ab8b-869aa8570067	HTT	+	540	6.6355226134195	5.468823336208279	-111002.03367767633	2523	25085	-
dbb170f3-7637-4519-bceb-8d7aa32ab54c	HTT	+	0	3.5410842503947886	3.512478110801601	0	41809	0	-
e2e10377-a6b2-4875-a773-e3201edfc86b	HTT	+	439	7.125249079886199	6.558647486014307	-97910.91013709796	2754	22058	-
656c29c7-7e34-4e8e-9135-c42daf96c6f1	HTT	+	393	5.341730255143476	4.353108250817587	-87290.32378277491	2818	18797	-
9111af17-5600-49a0-b424-667d513c2e70	HTT	+	507	6.65364907557271	5.925227684072705	-116655.54962731684	2338	26619	-
1b11b0ec-a3fb-46cd-96c9-747d83f40cc5	HTT	+	425	6.567933948382453	6.407036129424011	-99599.55842532286	4138	22257	-
2d81bc33-2810-4605-b573-a9e804962ca8	HTT	+	422	6.202313691913724	6.1791038587932725	-95347.04608549482	2029	21107	-
242b4775-ffe9-4c1b-9e00-2469e39e7ef0	HTT	+	420	6.5028344794568245	7.01243847091763	-103692.91844364631	3740	22734	-
67786ee2-a65f-4871-94c8-6d07b47d7ae2	HTT	+	0	3.146248473579041	4.491906344922081	0	31383	0	-
3accee5b-2115-41f6-961f-9dc16d5d800e	HTT	+	374	6.55423583174353	6.100763912239408	-102681.00659602894	2803	21820	-
e3a0c864-57d3-410a-b8b1-0f9f7c5f9931	HTT	+	411	5.775908849423193	6.268065141272668	-101478.27540412219	3623	22125	-
4879a4d2-f6d4-44ff-9d7a-a7481d4777c0	HTT	+	541	5.227156045724386	5.832781045177903	-108407.6666233144	2890	25174	-
ac26aba8-d494-44cc-99fd-29a716183a37	HTT	+	425	6.176714728860294	5.957244813635627	-100351.22384548537	2309	22100	-
709465ef-29be-43c2-a8c5-dc154ade2953	HTT	+	427	4.573967384922499	6.58962903012685	-98144.8475676872	3322	21301	-
ec0ace22-cd00-4b81-8fd7-18f9a70f8d90	HTT	+	429	6.14638627283105	5.751287888553329	-97135.52290207524	1939	21569	-
c54465c4-0cf6-4bd8-91f6-740820ba9873	HTT	+	518	6.434637822980835	7.192394130277318	-91600.1866296668	1543	21216	-
a8f17212-4eb6-4fc8-8c4a-55fe89f5c14a	HTT	+	429	7.423164682539682	5.399549252518984	-91311.43550580152	2227	19997	-
da6bc504-8344-4185-b43e-b0184c1db4cc	HTT	+	406	5.467058992725653	5.655509094473938	-93333.59794012141	2187	20686	-
8f875280-2fb1-4329-a7a9-54bd2bfa584e	HTT	+	0	3.573460163478219	3.446540814223621	0	13211	0	-
0439b109-f774-43bc-b153-5c5bfc59302f	HTT	+	526	5.064773679971068	6.2392951743898415	-100789.62315364013	2565	23236	-
c596c305-cbfa-4f96-b921-629495e00193	HTT	+	447	6.630243116809476	4.9724022079591546	-96918.40806976102	2233	21057	-
a7953c0e-f73f-4c8c-9a76-b736cdc39e80	HTT	+	411	5.363709917128053	5.616521422278044	-97790.858218703	2510	21576	-
87bc7109-41ff-4810-b288-05a324700722	HTT	+	418	8.117701393295262	5.513552497950209	-89539.02940765112	1536	19956	-
ba316225-e33e-4a0f-91a0-b2d5cbfd187b	HTT	+	414	7.276158993960889	6.2845714480377906	-93973.638501165	2918	20775	-
65ed4534-cfbc-4c22-a226-964d838b169c	HTT	+	426	6.52313979065534	6.382509561109293	-94638.66929357329	2334	20992	-
1a11d724-2815-40f8-af3d-d46d71bb3d95	HTT	+	419	5.276100125375273	3.364451293229777	-91323.19484906591	2260	19137	-
b88958ea-1d85-4f86-a1bd-fed87a0441b0	HTT	+	372	5.0941997460734685	5.924996206336153	-105785.97353592358	3168	23087	-
1dd31994-f98a-48e9-8451-c6726f9ab09b	HTT	+	411	6.3449297664141415	6.452872043185764	-102813.48528899402	2008	22795	-
a310b650-ef4b-4fbe-919c-6544a47dc471	HTT	+	439	6.811903697880772	6.071952275237933	-101363.84586630056	2638	22381	-
0621305f-f855-418b-994a-586de062564d	HTT	+	436	7.0106947682090075	5.318541213895121	-104985.48381661263	2147	23031	-
4b79d11a-26f4-45d2-8f3a-268f5114a2f1	HTT	+	425	7.299541520620903	5.5399993284383955	-92619.44693604382	2647	20322	-
45a0bde4-0686-4dac-a3d2-87291ed6a71a	HTT	+	56	3.8037161856655644	3.175833690269433	-26147.958206301548	12246	4028	-
fc83e220-a3fa-49c3-b2ed-814f7c28ebf0	HTT	+	480	3.4929918800841846	5.898573395143072	-99390.41597517277	3454	23322	-
c8fb8c3e-68c4-4d97-8f48-1aa2a5613470	HTT	+	553	5.278804599629345	5.777143574478865	-115175.2000352227	2479	26967	-
d2d48345-7648-4945-bb65-2419afecf6ac	HTT	+	438	5.109892961605702	5.291149989680792	-102150.30467837214	3958	22498	-
1a972889-a0da-4714-9d8a-a01c5f853fad	HTT	+	418	5.365962808098591	6.032366921056639	-96444.23884953873	2630	21207	-
3ff73e4d-9320-45d0-b08f-dbc90a62cf7b	HTT	+	440	5.981877910100287	5.1065416837993425	-122476.09102460326	2569	27806	-
3c13afa8-7fd5-4b8c-8fa8-0269003c55ff	HTT	+	456	6.4644359020973665	4.802853178223844	-119806.15264592782	4035	26936	-
fbd148bc-0890-4cd9-971e-9633432b1580	HTT	+	429	5.54871608885275	3.1540307991691017	-70520.09257455943	4633	15344	-
c791aacc-78e8-4b73-bb5a-886d06156659	HTT	+	445	6.225877523729086	5.829176585700452	-108106.10001860997	2071	23354	-
2c3f414e-3650-43c3-aec2-2c6416906aca	HTT	+	434	6.367377091493529	5.531702008928572	-98343.92369832513	2141	21745	-
