read_id	alignment_genome	alignment_direction	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score	alignment_coverage
0cf679fe-3833-4b10-8f61-cf6b064f6a06	HDR	+	6	2284	35	2287	25	51	2227	2179	0.978446	0.946157	3830	0.973765
6865915b-1764-4cff-aa03-f7b5f8cf2bfe	HDR	-	1	7569	13	7531	96	146	7422	7310	0.98491	0.95381	13020	0.981876
21e32916-4adb-45f8-bed2-e78bc2b73e1a	HDR	+	1	7569	28	7532	103	167	7401	7256	0.980408	0.9459	12624	0.980655
eb59fcd8-c41b-4546-af56-49916eb5ec01	HDR	+	1	7559	29	7498	77	166	7392	7259	0.982008	0.950753	12840	0.985863
0493f948-294e-43f2-a957-df13aa5d17d7	HDR	+	1	7559	25	7553	96	126	7432	7310	0.983585	0.955056	13088	0.98398
2ec1884a-19d1-4526-80f6-461551e4295a	HDR	-	11	7569	0	7520	110	148	7410	7257	0.979352	0.946401	12638	0.981717
bcdbdaea-9f90-4be2-8d0d-5dd4b2e38145	HDR	-	1	7564	12	7439	79	215	7348	7209	0.981083	0.943339	12494	0.983931
afd7032e-bd51-4a35-8903-43738f81ed75	HDR	-	7347	7569	0	213	0	9	213	211	0.99061	0.95045	372	0.880165
14027f6e-62cb-4459-a9f8-d1e9313539a0	HDR	+	7	7569	32	7519	87	162	7400	7268	0.982162	0.95019	12814	0.982344
e2ee9efe-9054-4358-8bf0-c5cbf4efa765	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
d9fbabd2-c976-41ac-828b-3ba0c0972dec	HDR	+	1	7569	27	7565	124	154	7414	7284	0.982466	0.946958	12752	0.979651
bc3b0799-d9c4-45b8-9dec-3c8713eec95c	HDR	+	1	7569	28	7523	98	171	7397	7267	0.982425	0.947952	12712	0.981685
9138924e-81ee-41cc-986b-0ef0927866c9	HDR	-	1	7567	14	7501	82	161	7405	7279	0.982984	0.951752	12948	0.983269
f82319dc-275f-4b3c-a8da-ccb418d334dd	HDR	+	1	7569	25	7579	104	118	7450	7337	0.984832	0.956335	13166	0.984408
5e280144-0b38-4b11-b7c2-72465ec2723a	HDR	+	1	6925	26	6893	77	134	6790	6681	0.983947	0.954292	11900	0.984629
aaa4f8de-6553-4c4e-a736-73c4f8cb9713	HDR	+	1	7569	28	7548	73	121	7447	7339	0.985498	0.960476	13294	0.984792
63d25f0d-5247-4bca-9f6a-ca4a06210ff4	HDR	+	1	7569	29	7523	81	155	7413	7310	0.986106	0.95568	13112	0.983678
eb369079-7f10-49d9-8939-6be56fdd11d0	HDR	+	1	7569	7555	15087	93	129	7439	7319	0.983869	0.955358	13070	0.982955
72e995ca-c6b6-4951-b7b9-2fad67eab696	HDR	+	1	7569	28	7561	109	144	7424	7294	0.982489	0.950111	12858	0.980973
894e0d66-113a-4048-89e6-84a5eca46d05	HDR	+	1	7569	27	7565	89	119	7449	7347	0.986307	0.959514	13250	0.984276
fc4d9c39-725c-47fa-90a7-3aec2c1d2626	HDR	-	1	7569	15	7504	93	172	7396	7261	0.981747	0.947788	12752	0.982074
28545367-012f-4ed0-b560-c1556af16782	HDR	-	1	7569	16	7534	105	155	7413	7245	0.977337	0.94422	12606	0.980426
a2c34172-448c-4799-84a7-5ba84d97e36d	HDR	+	1	7569	28	7547	92	141	7427	7275	0.979534	0.949739	12840	0.982537
f6aecafd-821a-45c8-ada1-2fad8f868dfa	HDR	+	1	7569	28	7519	94	171	7397	7252	0.980397	0.946489	12670	0.981555
749f46a8-5a55-47e4-b608-bb0d321a78d5	HDR	+	1	7569	32	7555	102	147	7421	7280	0.981	0.949153	12818	0.980576
3664becc-14cb-4655-b50a-f256e6070403	HDR	-	10	7569	22	7477	77	181	7378	7253	0.983058	0.949843	12798	0.983209
e2b4f88a-1746-4e3c-8573-84853ed11e68	HDR	+	1	7569	13336	20916	121	109	7459	7351	0.985521	0.956041	13142	0.985597
2760bebe-f346-4d00-9adf-b2076d52a1c3	HDR	+	6	7569	31	7551	119	162	7401	7281	0.983786	0.9478	12776	0.978451
035a26a2-e4c6-431e-bd4a-12f89bec5af4	HDR	+	1	7569	28	7552	107	151	7417	7275	0.980855	0.947883	12778	0.980307
5ad03116-dc57-48de-82e4-cb2603cea4a3	HDR	+	1	7569	28	7597	105	104	7464	7341	0.983521	0.956731	13172	0.986258
0a31ff3a-df3d-4df8-a224-823e5bedeff0	HDR	-	1	7569	12	7478	85	187	7381	7245	0.981574	0.946688	12698	0.983347
23e4941a-d8be-43d3-a027-9433e5bd2844	HDR	+	2	7569	34	7546	105	160	7407	7285	0.983529	0.949557	12800	0.979762
4e520c12-8db2-4d51-9a5a-29066bf459a7	HDR	+	1	7564	29	7544	85	133	7430	7289	0.981023	0.95306	12954	0.982934
a30274bd-b02e-45d6-8958-1c6daabb4f91	HDR	-	1	7569	12	7510	101	171	7397	7264	0.98202	0.94719	12724	0.981034
8a0e84ce-1191-4b3e-917b-0fd6d58b9912	HDR	+	1	7569	24	7543	117	166	7402	7229	0.976628	0.940664	12436	0.979619
2caf244c-65b9-4f07-9fac-32a465899249	HDR	-	2	7569	1244	8721	88	178	7389	7249	0.981053	0.946963	12686	0.976348
7d1b273f-7d79-4458-b5b0-fa6e6d0acd08	HDR	+	1	7569	28	7520	94	170	7398	7282	0.98432	0.950405	12824	0.981948
5cfeb139-84f7-4816-b3e4-14a5ac6b3f35	HDR	+	1	7569	7531	15044	123	178	7390	7271	0.983897	0.945391	12684	0.97648
91bf44eb-7a35-47cf-9eaf-8a32f2ce04c4	HDR	+	1	7569	28	7570	105	131	7437	7311	0.983058	0.952822	12978	0.98269
4894a68d-816d-4617-80b8-01021f971918	HDR	-	11	7569	0	7498	75	135	7423	7277	0.980331	0.95336	12926	0.986445
f3055eae-ea99-407b-b57b-6394a5cd4ac9	HDR	+	1	7569	6531	13994	84	189	7379	7230	0.979808	0.944851	12606	0.975026
d5f0130a-9b10-4a1a-a063-48a2043ce57e	HDR	+	1	7569	25	7562	120	151	7417	7271	0.980316	0.94576	12668	0.980048
265d2494-7495-45d7-b38f-9142402691ee	HDR	+	7	7569	28	7511	81	160	7402	7272	0.982437	0.951459	12870	0.983654
0541c156-6906-4078-bfdf-6fa2afc20f5b	HDR	+	1	7569	7580	15106	108	150	7418	7272	0.980318	0.947368	12684	0.98018
40836f4c-0a24-4f73-9213-b56a608a6738	HDR	+	1	7569	27	7574	94	115	7453	7314	0.98135	0.954581	13062	0.984804
4148d818-7291-4712-80c2-c80c5acd6b01	HDR	-	1	7569	12	7491	92	181	7387	7251	0.981589	0.946606	12644	0.982575
b8c8ad8a-3e64-42d9-b28f-b534b9ac102d	HDR	-	4	7569	15	7541	104	143	7422	7319	0.986122	0.954362	13068	0.980708
62a811bf-e596-43a5-bf69-cf660200bc13	HDR	+	1	7569	27	7500	95	190	7378	7244	0.981838	0.945322	12618	0.9819
19a3555b-a0ec-4861-8dcf-90698968c44b	HDR	+	1	7569	30	7531	89	156	7412	7273	0.981247	0.94985	12808	0.982372
bc1c9a52-e257-4ef1-a58a-7699bd42082a	HDR	-	1	7568	15	7527	87	142	7425	7305	0.983838	0.954403	13024	0.982793
4d812dd6-599a-41c3-9e93-9e17e5a7c003	HDR	-	1	7569	12	7500	82	162	7406	7278	0.982717	0.951373	12888	0.983794
5c734bb9-eb78-463a-9faf-e569d85fedc8	HDR	+	1	7569	27	7538	119	176	7392	7240	0.979437	0.94185	12502	0.978943
