read_id	alignment_genome	alignment_direction	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score	alignment_coverage
a3657fe5-1417-4ff5-8014-d92b42e25f51	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
ef5d1a52-6c47-45ef-8e54-4b4f4c6a0b03	Targeting	-	2861	3188	5	325	3	10	317	314	0.990536	0.951515	562	0.900568
9c5afaba-3cf8-493e-9b32-037674419a20	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
b1af62a6-d7a2-4548-8971-74f7d79fd36a	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6326c23c-152d-41c2-a959-14f77229cf70	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
d2f44bd3-eac3-4493-8ae2-ceeb81ed9597	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
67c07ee7-1133-4c55-b6de-7a4ea7bfb820	Targeting	-	2912	3129	711	925	3	6	211	207	0.981043	0.940909	356	0.21641
a222910f-2a59-4ae0-b873-cbfc13560357	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
97d22531-9774-4163-96cd-9e26306ec2be	Targeting	+	1	3166	28	3027	32	198	2967	2922	0.984833	0.913982	5002	0.976951
f8294495-9ee3-4fa7-bc26-20cb24562ae4	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
69da3328-3325-442b-9fff-dd306fe113f5	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4ca05580-45a1-404b-bd43-5fefc6bbb69d	Targeting	+	2612	3188	26	597	12	17	559	550	0.9839	0.935374	926	0.917898
3045b9e7-3b59-446f-a2cc-ab39724b891b	Targeting	+	996	3188	28	2198	24	46	2146	2121	0.98835	0.95713	3802	0.971041
6c4d4c56-3a18-46a2-bf1f-890ab95888a3	Targeting	+	1858	3188	29	1348	13	24	1306	1286	0.984686	0.957558	2314	0.95818
d8a8e975-c963-47ee-800c-0b6e51177100	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
226e7d27-5628-4cd9-a45e-fd2a6f1e0dac	Targeting	-	1	3188	14	3192	85	94	3093	3040	0.982865	0.929095	5138	0.970505
6c7315a3-5538-46c7-8c48-47b02f33e1fc	Targeting	+	1	3176	30	3140	42	107	3068	3018	0.983703	0.938141	5202	0.976759
91572ccc-fa71-49c3-be89-f85f1994f964	Targeting	-	2912	3188	346	621	5	6	270	267	0.988889	0.950178	480	0.416025
17846d89-6cf5-4102-a8f0-d3e1fe494f50	Targeting	-	2804	3188	9	387	4	10	374	371	0.991979	0.956186	666	0.901205
cca83af4-9683-4e7f-bb18-7a7d9c6be39f	Targeting	-	2595	3188	14	604	6	9	584	580	0.993151	0.96828	1070	0.924051
0058f6a9-c737-438c-bbad-08003255bde0	Targeting	+	1	3188	28	3155	46	106	3081	3030	0.983447	0.93721	5232	0.972231
d8991d11-17e0-4b16-9168-08ddbbc13f06	Targeting	-	1	264	15	274	2	6	257	251	0.976654	0.94717	438	0.222318
5808c71e-721c-4925-a81e-f07e9d1ed3e6	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
148c5653-3cb3-4488-a416-a24af34d226e	Targeting	-	1	322	14	308	2	29	292	285	0.976027	0.882353	448	0.220544
bedca2ef-e34f-4751-acea-ef0aad9914c6	Targeting	+	1	322	22	319	0	24	297	294	0.989899	0.915888	508	0.22466
2aede5a2-07cc-427a-9408-762a4029cf68	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3419d47e-1b8d-4ac2-b6b5-3af3b28d7d00	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
cbb3bf89-1bcd-46c2-98e6-afbdae01ebe0	Targeting	-	1	3187	3537	6653	50	120	3066	3014	0.98304	0.931397	5116	0.962033
157a6e64-2fa3-43de-98e1-72b6cba1e775	Targeting	-	2423	3188	0	744	7	28	737	724	0.982361	0.937824	1242	0.954663
725f6112-a5f4-44b3-86aa-e24cf988dec8	Targeting	-	1770	3188	2	1387	10	43	1375	1361	0.989818	0.953081	2436	0.971731
002571ef-7d80-44f2-8e1c-7641b46ef2cb	Targeting	-	2	3188	16	3143	49	108	3078	3017	0.980182	0.932612	5192	0.970978
739be845-e28d-4ca4-8701-0a70264d31b5	Targeting	-	1	3188	14	3042	54	213	2974	2929	0.984869	0.903733	4818	0.968414
2a33612c-6720-4736-8c16-3108cc6c4e9e	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
dfa81730-4544-47d2-a932-25b3a5e2f5f8	Targeting	-	2584	3188	2	589	4	21	583	576	0.987993	0.947368	1006	0.944895
01d315f8-6f37-4476-adb8-b0acb466d521	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
47db0492-038b-4592-a3de-39e1a9b69458	Targeting	-	1	322	12	310	4	27	294	288	0.979592	0.886154	446	0.22239
b18dd928-b111-4df0-b852-ea4e762f719f	Targeting	+	2567	3188	22	635	11	19	602	595	0.988372	0.941456	1034	0.924731
cccd4497-08d0-4a62-b710-626340938c1e	Targeting	+	1	3175	29	3163	51	91	3083	3038	0.985404	0.942016	5312	0.974092
9ea816ce-0929-4b69-88a0-ac1913c95fc0	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
892e52f5-e6a7-42ae-9e09-e2b46bc5a22a	Targeting	+	11	481	34	497	6	13	457	450	0.984683	0.945378	770	0.919517
560c3e88-1683-4a61-ba8b-9e9c02994b01	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
430596f9-8876-4288-8588-1ffbfc12a39a	Targeting	-	2316	3188	0	865	5	12	860	854	0.993023	0.973774	1602	0.961969
21214143-3faf-4bee-b525-77a99fc2a1fe	Targeting	+	1764	2842	28	1114	14	6	1072	1052	0.981343	0.96337	1932	0.946996
4584988b-e603-4f9e-b30a-4c088b217872	Targeting	-	1979	3127	15	1142	9	30	1118	1103	0.986583	0.953328	1972	0.935565
fd086657-3c0a-4127-89b8-a2ce7ed84c8d	Targeting	+	7	322	32	329	3	21	294	288	0.979592	0.90566	480	0.219239
