read_id	alignment_genome	alignment_direction	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score	alignment_coverage
5a420ba8-67ad-4d12-989a-d8c7ad37db11	pUC57_Cre	+	1	3978	3483	7399	49	110	3867	3797	0.981898	0.94312	6544	0.521581
8fa2dcd1-d0e3-4c6a-82b4-37a4a301c3f2	pUC57_Cre	+	1	3980	3497	7433	54	97	3882	3810	0.981453	0.944706	6638	0.521354
7544c838-587f-4ff9-99fd-57336bb9f35e	pUC57_Cre	+	1	3980	3478	7405	47	99	3880	3817	0.983763	0.948087	6670	0.522982
49bfaaac-94ee-4fb2-9564-6f8344af1963	pUC57_Cre	-	1	7337	472	7725	89	172	7164	7052	0.984366	0.949764	12446	0.960837
c6f23326-a147-4f49-bfcc-1eb3d13ca3e6	pUC57_Cre	+	1	3970	3478	7398	58	107	3862	3776	0.977732	0.937671	6482	0.522033
c00612e5-bddc-4fcf-8f0f-7291054fae65	pUC57_Cre	+	1	3980	3465	7401	39	82	3897	3839	0.985117	0.95545	6860	0.525627
ebf8b25a-4352-434b-b00e-aeadfbad60fc	pUC57_Cre	-	1	3980	3468	7395	37	89	3890	3833	0.985347	0.954432	6822	0.524047
1b7bf45c-47b8-4bb4-9b4f-49cd60b9954e	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
625163cb-f9c7-42ed-a117-e1b3ee17135e	pUC57_Cre	+	717	7457	31	6713	80	138	6602	6501	0.984702	0.953226	11510	0.885461
67533444-7250-4798-8a89-6583546e3e4a	pUC57_Cre	-	1	3971	3439	7325	58	142	3828	3755	0.98093	0.932224	6362	0.520321
bb2cd422-02ee-4f9f-a819-c17eca8ba7f1	pUC57_Cre	-	1	3980	3461	7405	64	99	3880	3804	0.980412	0.940885	6554	0.522137
fc914b70-565d-48db-bb74-076a7ac805d2	pUC57_Cre	+	1	5937	1541	7407	51	121	5815	5736	0.986414	0.958076	10312	0.783693
b5a6d6d6-9c71-41bc-878a-dae866291801	pUC57_Cre	-	1	3980	3430	7360	42	91	3888	3811	0.980195	0.947774	6656	0.52633
1ee6121b-b0db-4528-9312-8f478778633e	pUC57_Cre	+	3432	7457	27	4023	36	65	3960	3905	0.986111	0.961586	7092	0.89149
258eb9a4-16d5-46bc-9292-046432160fa9	pUC57_Cre	+	1	3978	3476	7400	66	119	3858	3794	0.983411	0.938412	6498	0.520297
438ae9cc-908e-4821-a823-4be1edf58361	pUC57_Cre	+	3974	7457	8	3467	27	51	3432	3385	0.986305	0.964387	6194	0.692075
a2786f90-c508-4216-b1bf-3eaeac0bbc1c	pUC57_Cre	-	927	7457	6	6440	71	167	6363	6262	0.984127	0.948644	11000	0.864655
