read_id	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod	alignment_genome	alignment_direction	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score	alignment_coverage
0002fee6-a033-45ce-af65-43e6bb31af68	HTT	+	29	6.817258861427	6.58311930979331	-4030.66389558876	21588	396	-	Targeting	+	1431	3188	20	1745	36	68	1689	1639	0.970397	0.91411	2602	0.548733
001b0e6f-2ca5-494b-a271-e1fe39f06fa6	HTT	+	28	6.48204270867666	6.68424880783279	-5029.36452252602	6544	800	-	Targeting	+	1	3188	25	3031	64	245	2942	2855	0.970428	0.878191	4352	0.965857
001f857b-4abf-44de-b514-2c39f76a0be0	HTT	-	28	6.18928381385449	6.32296798656352	-5066.83628788937	26567	799	-	Targeting	-	1	3188	14	3005	37	233	2954	2879	0.974611	0.89299	4608	0.974274
0085039a-76c4-481d-b8b6-fe52fc247ec3	HTT	-	26	7.17516770287958	7.02620745236989	-5279.25820629628	22301	760	-	Targeting	-	14	3188	26	3051	79	228	2946	2875	0.9759	0.8838	4413	0.956493
009049e9-a7ba-4787-ba30-ae7fbba8c471	HTT	-	27	6.32376142694601	6.01393622141413	-5182.90981165113	26237	769	-	Targeting	-	1	3188	14	3089	69	181	3006	2947	0.980373	0.905098	4819	0.964389
009ebd2f-ffaf-4948-8db5-dd425bffb925	HTT	+	25	6.80526449991588	7.24578926780007	-4167.574502448	6173	552	-	Targeting	+	1	3188	28	3042	48	221	2966	2881	0.971342	0.890572	4544	0.97055
00a35d00-66f7-4e86-a8ef-0a51dde5d61d	HTT	-	29	6.19017656898725	6.94571906887755	-4858.88723423111	27265	755	-	Targeting	-	1	3188	15	3041	45	206	2981	2911	0.976518	0.900681	4766	0.971326
01233180-bf64-484e-93d5-40487bc4926e	HTT	+	26	6.09050139817804	6.58849308480915	-4121.06516995709	6519	401	-	Targeting	+	1	3188	28	3029	34	220	2967	2900	0.977418	0.900342	4730	0.975666
0127b33e-15fb-4172-b8ff-586a0d28e9df	HTT	+	30	6.36321598006843	7.31867832439618	-5308.05801464279	8150	1004	-	Targeting	+	1	3188	23	3066	61	205	2982	2916	0.977867	0.897783	4756	0.968496
014a28b7-0fa6-4fa9-b3cb-ff26416a3dc3	HTT	-	25	6.68681634101536	6.09759376546009	-5270.10057671186	27463	796	-	Targeting	-	8	3186	14	3029	60	223	2955	2900	0.981387	0.895615	4682	0.966318
01504a1b-a4df-4339-8cdc-e02a896c8ee4	HTT	+	25	7.1095111222592	6.97797525115576	-4108.10003387691	8057	717	-	Targeting	+	1	3188	28	3064	66	217	2970	2869	0.965993	0.881955	4308	0.96554
